Title2
Total RV Campers for Apr 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"183,106","182,339",-767,"534,784","494,915","-39,869"
