Title2
Total NonRecreation Visits for Mar 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,539,980","13,766,774","-773,206","40,456,088","38,943,308","-1,512,780"
