Title2
Total Recreation Hours for Mar 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"79,276,321","74,856,714","-4,419,607","172,446,461","168,505,916","-3,940,545"
